EmployeeID,RegionDescription,CompanyName,Year,Month,Total Quantity,Total Sales
8,Northern                                          ,Galería del gastrónomo,1996,November,10,136
7,Western                                           ,Godos Cocina Típica,1996,September,85,1117.799998
4,Eastern                                           ,HILARION-Abastos,1996,July,46,1119.9
6,Western                                           ,HILARION-Abastos,1996,December,106,2122.919997
3,Southern                                          ,Hanari Carnes,1996,July,102,1444.8
4,Eastern                                           ,Hanari Carnes,1996,July,60,1552.59999
1,Eastern                                           ,Hungry Coyote Import Store,1996,December,20,442
3,Southern                                          ,Hungry Coyote Import Store,1996,December,25,338
4,Eastern                                           ,Hungry Owl All-Night Grocers,1996,December,130,1366.399995
6,Western                                           ,Hungry Owl All-Night Grocers,1996,September,125,2645
7,Western                                           ,Hungry Owl All-Night Grocers,1996,October,86,2036.159992
3,Southern                                          ,Hungry Owl All-Night Grocers,1996,September,75,1762
8,Northern                                          ,Hungry Owl All-Night Grocers,1996,December,74,1313.819998
3,Southern                                          ,Island Trading,1996,October,10,144
8,Northern                                          ,Island Trading,1996,October,26,240.4
4,Eastern                                           ,Island Trading,1996,September,44,516.8
1,Eastern                                           ,Königlich Essen,1996,October,71,1497
4,Eastern                                           ,Königlich Essen,1996,October,13,164.4
6,Western                                           ,LILA-Supermercado,1996,September,57,1050.6
3,Southern                                          ,LILA-Supermercado,1996,October,75,1648.999988
3,Southern                                          ,LILA-Supermercado,1996,August,76,1414.8
3,Southern                                          ,LILA-Supermercado,1996,December,14,112
1,Eastern                                           ,LILA-Supermercado,1996,November,54,1167.679997
1,Eastern                                           ,La maison d'Asie,1996,December,6,72.95999973
5,Eastern                                           ,La maison d'Asie,1996,November,40,429.3999997
6,Western                                           ,La maison d'Asie,1996,November,33,642.0599989
8,Northern                                          ,Lehmanns Marktstand,1996,August,15,351
4,Eastern                                           ,Lehmanns Marktstand,1996,October,69,1584
4,Eastern                                           ,Lehmanns Marktstand,1996,August,61,1170.375
6,Western                                           ,Lonesome Pine Restaurant,1996,September,20,288
2,Eastern                                           ,Lonesome Pine Restaurant,1996,September,13,424
2,Eastern                                           ,Magazzini Alimentari Riuniti,1996,September,50,608
1,Eastern                                           ,Magazzini Alimentari Riuniti,1996,August,18,291.8399998
2,Eastern                                           ,Morgenstern Gesundkost,1996,August,32,1200.8
2,Eastern                                           ,Mère Paillarde,1996,October,108,3353.999998
3,Southern                                          ,Mère Paillarde,1996,October,66,1786.879993
1,Eastern                                           ,Mère Paillarde,1996,December,42,398.9999997
4,Eastern                                           ,Old World Delicatessen,1996,October,35,934.5
8,Northern                                          ,Old World Delicatessen,1996,September,80,3741.299994
4,Eastern                                           ,Ottilies Käseladen,1996,July,102,1504.65
8,Northern                                          ,Pericles Comidas clásicas,1996,November,16,568.8
7,Western                                           ,Pericles Comidas clásicas,1996,October,20,112
7,Western                                           ,Piccolo und mehr,1996,November,62,8593.279968
2,Eastern                                           ,Piccolo und mehr,1996,December,50,1440
7,Western                                           ,Princesa Isabel Vinhos,1996,October,18,285.1199995
5,Eastern                                           ,Princesa Isabel Vinhos,1996,December,28,716.719995
3,Southern                                          ,QUICK-Stop,1996,August,152,2037.279998
1,Eastern                                           ,QUICK-Stop,1996,November,109,2046.239997
2,Eastern                                           ,QUICK-Stop,1996,November,159,2924.8
8,Northern                                          ,QUICK-Stop,1996,August,140,3016
1,Eastern                                           ,QUICK-Stop,1996,August,121,1743.359994
2,Eastern                                           ,QUICK-Stop,1996,September,12,182.4
6,Western                                           ,Que Delícia,1996,August,46,497.5199992
4,Eastern                                           ,Que Delícia,1996,July,40,448
2,Eastern                                           ,Que Delícia,1996,December,44,863.2799986
5,Eastern                                           ,Queen Cozinha,1996,December,164,9210.9
6,Western                                           ,Rattlesnake Canyon Grocery,1996,August,70,1456
3,Southern                                          ,Rattlesnake Canyon Grocery,1996,November,56,1618.879998
4,Eastern                                           ,Rattlesnake Canyon Grocery,1996,August,75,1887.6
8,Northern                                          ,Rattlesnake Canyon Grocery,1996,July,29,583.9999994
1,Eastern                                           ,Rattlesnake Canyon Grocery,1996,September,175,4929.299997
4,Eastern                                           ,Reggiani Caseifici,1996,August,13,80.09999987
4,Eastern                                           ,Ricardo Adocicados,1996,September,35,349.5
8,Northern                                          ,Ricardo Adocicados,1996,August,75,818.9999958
9,Northern                                          ,Richter Supermarkt,1996,July,110,2490.5
4,Eastern                                           ,Romero y tomillo,1996,August,19,241.9
1,Eastern                                           ,Romero y tomillo,1996,September,25,498.5
1,Eastern                                           ,Santé Gourmet,1996,December,48,1058.4
9,Northern                                          ,Save-a-lot Markets,1996,October,241,5275.714965
2,Eastern                                           ,Save-a-lot Markets,1996,December,150,2505.599997
1,Eastern                                           ,Save-a-lot Markets,1996,December,176,2556.95
5,Eastern                                           ,Seven Seas Imports,1996,November,206,3471.679997
2,Eastern                                           ,Seven Seas Imports,1996,December,75,1228.799999
1,Eastern                                           ,Seven Seas Imports,1996,December,40,863.5999939
7,Western                                           ,Simons bistro,1996,October,17,352.5999976
6,Western                                           ,Split Rail Beer & Ale,1996,August,24,48
8,Northern                                          ,Split Rail Beer & Ale,1996,December,38,2390.4
7,Western                                           ,Split Rail Beer & Ale,1996,November,24,141.6
4,Eastern                                           ,Split Rail Beer & Ale,1996,October,50,4578.429996
1,Eastern                                           ,Split Rail Beer & Ale,1996,December,38,691.1999974
4,Eastern                                           ,Suprêmes délices,1996,September,80,2708.8
4,Eastern                                           ,Suprêmes délices,1996,July,105,3597.899998
8,Northern                                          ,The Big Cheese,1996,September,15,336
6,Western                                           ,Toms Spezialitäten,1996,July,49,1863.4
1,Eastern                                           ,Tortuga Restaurante,1996,August,33,848.7
7,Western                                           ,Tortuga Restaurante,1996,October,52,1191.2
8,Northern                                          ,Tortuga Restaurante,1996,August,25,420
1,Eastern                                           ,Tortuga Restaurante,1996,September,42,954.4
1,Eastern                                           ,Tradição Hipermercados,1996,August,20,1296
7,Western                                           ,Vaffeljernet,1996,November,76,834.2
8,Northern                                          ,Vaffeljernet,1996,December,139,1765.6
8,Northern                                          ,Victuailles en stock,1996,October,18,144.8
3,Southern                                          ,Victuailles en stock,1996,July,41,654.0599998
6,Western                                           ,Vins et alcools Chevalier,1996,August,27,538.6
2,Eastern                                           ,Vins et alcools Chevalier,1996,September,4,121.6
5,Eastern                                           ,Vins et alcools Chevalier,1996,July,27,440
1,Eastern                                           ,Wartian Herkku,1996,August,55,1376
5,Eastern                                           ,Wartian Herkku,1996,October,90,1393.199999
3,Southern                                          ,Wartian Herkku,1996,July,12,346.5599997
3,Southern                                          ,Wellington Importadora,1996,July,27,517.8
4,Eastern                                           ,White Clover Markets,1996,November,105,2296
5,Eastern                                           ,White Clover Markets,1996,July,80,642.1999995
1,Eastern                                           ,Wolski  Zajazd,1996,December,45,459
