EmployeeID,RegionDescription,Company Name,Year,Month,Total Quantity,Total Sales
4,Eastern                                           ,LINO-Delicateses,1998,January,16,211.1999992
1,Eastern                                           ,LINO-Delicateses,1998,April,132,3090
2,Eastern                                           ,LINO-Delicateses,1998,April,28,243.1799996
5,Eastern                                           ,LINO-Delicateses,1998,March,107,1659.53499
2,Eastern                                           ,LINO-Delicateses,1998,March,68,1122.8
4,Eastern                                           ,La corne d'abondance,1998,March,43,1051.5
6,Western                                           ,La corne d'abondance,1998,March,21,291.55
2,Eastern                                           ,La corne d'abondance,1998,January,19,649
7,Western                                           ,La maison d'Asie,1998,March,44,748.7999972
2,Eastern                                           ,La maison d'Asie,1998,January,32,475.1099986
7,Western                                           ,La maison d'Asie,1998,April,10,35.99999987
2,Eastern                                           ,Laughing Bacchus Wine Cellars,1998,January,17,187
2,Eastern                                           ,Lehmanns Marktstand,1998,May,110,1629.97499
7,Western                                           ,Lehmanns Marktstand,1998,February,15,368.9324997
8,Northern                                          ,Lehmanns Marktstand,1998,January,33,581
3,Southern                                          ,Lehmanns Marktstand,1998,March,20,500
4,Eastern                                           ,Let's Stop N Shop,1998,February,73,1378.069999
6,Western                                           ,Lonesome Pine Restaurant,1998,February,3,98.4
4,Eastern                                           ,Lonesome Pine Restaurant,1998,April,35,1575
8,Northern                                          ,Lonesome Pine Restaurant,1998,February,8,36
7,Western                                           ,Magazzini Alimentari Riuniti,1998,January,40,833
2,Eastern                                           ,Magazzini Alimentari Riuniti,1998,March,50,637.4999955
1,Eastern                                           ,Magazzini Alimentari Riuniti,1998,March,5,110
4,Eastern                                           ,Maison Dewey,1998,February,40,2089.999998
3,Southern                                          ,Maison Dewey,1998,April,12,295.38
9,Northern                                          ,Maison Dewey,1998,March,76,1303.194992
7,Western                                           ,Maison Dewey,1998,February,31,750.5
4,Eastern                                           ,Morgenstern Gesundkost,1998,March,30,245
3,Southern                                          ,North/South,1998,April,3,45
4,Eastern                                           ,Océano Atlántico Ltda.,1998,February,5,30
7,Western                                           ,Océano Atlántico Ltda.,1998,March,31,781
8,Northern                                          ,Océano Atlántico Ltda.,1998,March,70,2220
8,Northern                                          ,Old World Delicatessen,1998,April,33,539.3999998
6,Western                                           ,Old World Delicatessen,1998,March,16,848
3,Southern                                          ,Old World Delicatessen,1998,January,103,2227.887498
2,Eastern                                           ,Old World Delicatessen,1998,January,70,1410.99999
6,Western                                           ,Ottilies Käseladen,1998,January,38,906.9299985
6,Western                                           ,Ottilies Käseladen,1998,April,56,1197.949999
2,Eastern                                           ,Ottilies Käseladen,1998,April,24,632.3999956
2,Eastern                                           ,Pericles Comidas clásicas,1998,May,30,300
1,Eastern                                           ,Pericles Comidas clásicas,1998,April,24,1196
8,Northern                                          ,Piccolo und mehr,1998,January,35,735
2,Eastern                                           ,Piccolo und mehr,1998,April,80,3054.999991
8,Northern                                          ,Princesa Isabel Vinhos,1998,April,54,2633.9
8,Northern                                          ,QUICK-Stop,1998,March,195,3584
3,Southern                                          ,QUICK-Stop,1998,April,168,6306.24
4,Eastern                                           ,QUICK-Stop,1998,April,40,560
1,Eastern                                           ,QUICK-Stop,1998,April,160,2295.999991
3,Southern                                          ,QUICK-Stop,1998,March,128,2731.875
4,Eastern                                           ,QUICK-Stop,1998,February,20,1538.999999
2,Eastern                                           ,QUICK-Stop,1998,February,140,16387.49999
8,Northern                                          ,QUICK-Stop,1998,January,245,3812.699996
2,Eastern                                           ,Que Delícia,1998,March,59,1353.6
8,Northern                                          ,Queen Cozinha,1998,March,66,1119.9
6,Western                                           ,Queen Cozinha,1998,February,25,537.5
8,Northern                                          ,Queen Cozinha,1998,May,72,2027.079986
4,Eastern                                           ,Queen Cozinha,1998,February,85,768.75
7,Western                                           ,Queen Cozinha,1998,February,92,1920.599999
6,Western                                           ,Rancho grande,1998,April,5,76
1,Eastern                                           ,Rancho grande,1998,February,32,686.7
9,Northern                                          ,Rancho grande,1998,January,7,932
2,Eastern                                           ,Rattlesnake Canyon Grocery,1998,April,85,903.75
1,Eastern                                           ,Rattlesnake Canyon Grocery,1998,May,72,1255.720499
3,Southern                                          ,Rattlesnake Canyon Grocery,1998,March,100,3574.799997
9,Northern                                          ,Rattlesnake Canyon Grocery,1998,February,80,11380
8,Northern                                          ,Rattlesnake Canyon Grocery,1998,January,71,2984
3,Southern                                          ,Rattlesnake Canyon Grocery,1998,January,30,1140
9,Northern                                          ,Reggiani Caseifici,1998,March,28,560
4,Eastern                                           ,Reggiani Caseifici,1998,April,22,406.3999985
2,Eastern                                           ,Reggiani Caseifici,1998,April,30,645
4,Eastern                                           ,Reggiani Caseifici,1998,February,34,663.0999995
5,Eastern                                           ,Reggiani Caseifici,1998,January,76,1692.799998
2,Eastern                                           ,Ricardo Adocicados,1998,April,77,1838
1,Eastern                                           ,Ricardo Adocicados,1998,February,55,1955.125
5,Eastern                                           ,Ricardo Adocicados,1998,January,67,2602.999998
1,Eastern                                           ,Ricardo Adocicados,1998,January,47,602.3999993
8,Northern                                          ,Richter Supermarkt,1998,May,42,498.0999965
7,Western                                           ,Richter Supermarkt,1998,April,106,3232.799995
9,Northern                                          ,Richter Supermarkt,1998,March,71,458.7549996
4,Eastern                                           ,Richter Supermarkt,1998,March,72,799.1999985
4,Eastern                                           ,Romero y tomillo,1998,March,11,365.89
2,Eastern                                           ,Romero y tomillo,1998,April,36,361
2,Eastern                                           ,Santé Gourmet,1998,April,33,622.35
1,Eastern                                           ,Santé Gourmet,1998,February,32,670
3,Southern                                          ,Santé Gourmet,1998,January,27,2684.4
7,Western                                           ,Save-a-lot Markets,1998,April,330,12615.05
1,Eastern                                           ,Save-a-lot Markets,1998,May,173,4330.399994
6,Western                                           ,Save-a-lot Markets,1998,April,182,2393.5
7,Western                                           ,Save-a-lot Markets,1998,March,204,4011.75
2,Eastern                                           ,Save-a-lot Markets,1998,March,99,720.899997
1,Eastern                                           ,Save-a-lot Markets,1998,February,198,2753.099998
4,Eastern                                           ,Save-a-lot Markets,1998,February,77,892.6399962
4,Eastern                                           ,Save-a-lot Markets,1998,January,288,4931.919982
1,Eastern                                           ,Save-a-lot Markets,1998,March,115,1809.75
2,Eastern                                           ,Save-a-lot Markets,1998,January,16,40
4,Eastern                                           ,Save-a-lot Markets,1998,April,135,1811.099996
5,Eastern                                           ,Seven Seas Imports,1998,February,120,1630
7,Western                                           ,Simons bistro,1998,May,14,232.0849998
3,Southern                                          ,Split Rail Beer & Ale,1998,March,10,439
1,Eastern                                           ,Split Rail Beer & Ale,1998,January,26,678
5,Eastern                                           ,Spécialités du monde,1998,April,10,210
3,Southern                                          ,Spécialités du monde,1998,March,21,2052.5
6,Western                                           ,Spécialités du monde,1998,February,14,108.5
2,Eastern                                           ,Suprêmes délices,1998,April,110,1754.5
1,Eastern                                           ,Suprêmes délices,1998,April,37,732.5999997
4,Eastern                                           ,Suprêmes délices,1998,March,116,2255.499997
6,Western                                           ,Suprêmes délices,1998,February,87,1209
2,Eastern                                           ,Suprêmes délices,1998,January,71,1112
5,Eastern                                           ,Suprêmes délices,1998,January,111,4581
1,Eastern                                           ,The Big Cheese,1998,April,2,69.6
3,Southern                                          ,The Cracker Box,1998,April,24,326
2,Eastern                                           ,Toms Spezialitäten,1998,March,52,910.4
1,Eastern                                           ,Tortuga Restaurante,1998,May,20,360
2,Eastern                                           ,Tortuga Restaurante,1998,February,50,539.5
1,Eastern                                           ,Tortuga Restaurante,1998,January,52,975
3,Southern                                          ,Tradição Hipermercados,1998,January,45,827.5499986
1,Eastern                                           ,Tradição Hipermercados,1998,January,28,1432.713999
4,Eastern                                           ,Tradição Hipermercados,1998,January,88,1974
6,Western                                           ,Trail's Head Gourmet Provisioners,1998,January,9,237.9
1,Eastern                                           ,Vaffeljernet,1998,March,140,3343.5
2,Eastern                                           ,Vaffeljernet,1998,April,18,940.4999993
1,Eastern                                           ,Victuailles en stock,1998,January,54,628.9999956
4,Eastern                                           ,Victuailles en stock,1998,January,4,159
3,Southern                                          ,Victuailles en stock,1998,January,78,1788.449989
6,Western                                           ,Wartian Herkku,1998,April,30,269.9999996
4,Eastern                                           ,Wellington Importadora,1998,March,33,619.5
1,Eastern                                           ,Wellington Importadora,1998,February,3,33.75
9,Northern                                          ,Wellington Importadora,1998,February,20,341.9999997
7,Western                                           ,Wellington Importadora,1998,January,20,140
3,Southern                                          ,White Clover Markets,1998,February,50,1924.25
4,Eastern                                           ,White Clover Markets,1998,January,140,3523.4
7,Western                                           ,White Clover Markets,1998,May,80,928.75
2,Eastern                                           ,White Clover Markets,1998,April,90,8902.5
1,Eastern                                           ,Wilman Kala,1998,February,27,452.9
4,Eastern                                           ,Wilman Kala,1998,February,23,336.8
3,Southern                                          ,Wilman Kala,1998,February,32,611.3
2,Eastern                                           ,Wilman Kala,1998,April,12,586
4,Eastern                                           ,Wolski  Zajazd,1998,February,15,427.5
4,Eastern                                           ,Wolski  Zajazd,1998,April,12,591.6
8,Northern                                          ,Wolski  Zajazd,1998,April,69,686
5,Eastern                                           ,Wolski  Zajazd,1998,February,5,160
